"","population","time","block","plot","trt","sample","name","X","Y","Zm01_1","Zm01_2","Zm02_1","Zm02_2","Zm03_1","Zm03_2","Zm04_1","Zm04_2","Zm05_1","Zm05_2","Zm06_1","Zm06_2","Zm07_1","Zm07_2","Zm09_1","Zm09_2","Zm10_1","Zm10_2","mlg"
"1","T1_2A",1,2,"A","1X",1,"T1-2A1",1,6,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"2","T1_2A",1,2,"A","1X",2,"T1-2A2",2,6,165,171,99,102,105,105,80,94,196,196,284,284,93,96,128,128,146,148,2
"3","T1_2A",1,2,"A","1X",3,"T1-2A3",3,6,165,171,99,102,105,105,80,94,196,196,284,284,93,96,128,128,146,148,2
"4","T1_2A",1,2,"A","1X",4,"T1-2A4",4,6,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"5","T1_2A",1,2,"A","1X",5,"T1-2A5",5,6,165,171,99,102,105,105,80,94,196,196,284,284,93,96,128,128,146,148,2
"6","T1_2A",1,2,"A","1X",6,"T1-2A6",6,6,165,171,99,102,105,105,80,94,196,196,284,284,93,96,128,128,146,148,2
"7","T1_2A",1,2,"A","1X",7,"T1-2A7",1,5,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"8","T1_2A",1,2,"A","1X",8,"T1-2A8",2,5,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"9","T1_2A",1,2,"A","1X",9,"T1-2A9",3,5,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"10","T1_2A",1,2,"A","1X",10,"T1-2A10",4,5,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"11","T1_2A",1,2,"A","1X",11,"T1-2A11",5,5,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"12","T1_2A",1,2,"A","1X",13,"T1-2A13",1,4,165,165,102,102,105,105,80,80,196,200,284,290,90,99,132,134,146,146,12
"13","T1_2A",1,2,"A","1X",14,"T1-2A14",2,4,165,165,102,102,105,105,80,80,196,200,284,290,90,99,132,134,146,146,12
"14","T1_2A",1,2,"A","1X",15,"T1-2A15",3,4,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"15","T1_2A",1,2,"A","1X",16,"T1-2A16",4,4,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"16","T1_2A",1,2,"A","1X",17,"T1-2A17",5,4,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"17","T1_2A",1,2,"A","1X",18,"T1-2A18",6,4,165,165,102,102,105,105,80,80,196,200,284,290,90,99,132,134,146,146,12
"18","T1_2A",1,2,"A","1X",19,"T1-2A19",1,3,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"19","T1_2A",1,2,"A","1X",20,"T1-2A20",2,3,165,165,102,102,105,105,80,80,196,200,284,290,90,99,132,134,146,146,12
"20","T1_2A",1,2,"A","1X",21,"T1-2A21",3,3,165,165,102,102,105,105,80,80,196,200,284,290,90,99,132,134,146,146,12
"21","T1_2A",1,2,"A","1X",22,"T1-2A22",4,3,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"22","T1_2A",1,2,"A","1X",23,"T1-2A23",5,3,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"23","T1_2A",1,2,"A","1X",24,"T1-2A24",6,3,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"24","T1_2A",1,2,"A","1X",25,"T1-2A25",1,2,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"25","T1_2A",1,2,"A","1X",26,"T1-2A26",2,2,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"26","T1_2A",1,2,"A","1X",27,"T1-2A27",3,2,165,165,102,102,105,105,80,80,196,200,284,290,90,99,132,134,146,146,12
"27","T1_2A",1,2,"A","1X",28,"T1-2A28",4,2,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"28","T1_2A",1,2,"A","1X",29,"T1-2A29",5,2,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"29","T1_2A",1,2,"A","1X",30,"T1-2A30",6,2,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"30","T1_2A",1,2,"A","1X",31,"T1-2A31",1,1,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"31","T1_2A",1,2,"A","1X",32,"T1-2A32",2,1,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"32","T1_2A",1,2,"A","1X",33,"T1-2A33",3,1,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"33","T1_2A",1,2,"A","1X",34,"T1-2A34",4,1,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"34","T1_2A",1,2,"A","1X",35,"T1-2A35",5,1,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"35","T1_2A",1,2,"A","1X",36,"T1-2A36",6,1,171,171,102,102,105,105,80,94,192,196,284,290,93,96,134,136,146,150,1
"36","T1_2B",1,2,"B","0X",1,"T1-2B1",1,6,165,165,102,102,105,105,80,94,192,200,290,290,96,102,124,134,150,150,36
"37","T1_2B",1,2,"B","0X",2,"T1-2B2",2,6,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"38","T1_2B",1,2,"B","0X",3,"T1-2B3",3,6,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"39","T1_2B",1,2,"B","0X",4,"T1-2B4",4,6,165,165,99,102,105,105,80,80,192,196,284,290,90,93,124,132,146,148,39
"40","T1_2B",1,2,"B","0X",5,"T1-2B5",5,6,165,165,99,102,105,105,80,80,192,196,284,290,90,93,124,132,146,148,39
"41","T1_2B",1,2,"B","0X",6,"T1-2B6",6,6,165,165,99,102,105,105,80,80,192,196,284,290,90,93,124,132,146,148,39
"42","T1_2B",1,2,"B","0X",7,"T1-2B7",1,5,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"43","T1_2B",1,2,"B","0X",8,"T1-2B8",2,5,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"44","T1_2B",1,2,"B","0X",9,"T1-2B9",3,5,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"45","T1_2B",1,2,"B","0X",10,"T1-2B10",4,5,165,165,102,102,105,105,80,94,196,204,284,290,93,96,134,134,146,148,37
"46","T1_2B",1,2,"B","0X",11,"T1-2B11",5,5,165,165,99,102,105,105,80,80,192,196,284,290,90,93,124,132,146,148,39
